IPC,Instructions,Cycles,L1MISS,L2MISS,L3MISS,Branch,L2HIT,L3HIT
1.13,-2147.48,-2147.48,25.16,20.02,17.59,4237.26,0.99,-1.00
1.16,-2147.48,-2147.48,28.70,21.44,17.70,4533.82,0.99,-1.00
1.19,-2147.48,-2147.48,25.60,20.52,18.10,4429.32,0.99,-1.00
1.19,-2147.48,-2147.48,23.45,18.22,15.65,4385.21,0.99,-1.00
1.16,-2147.48,-2147.48,24.19,19.07,16.62,4403.23,0.99,-1.00
1.09,-2147.48,-2147.48,24.26,19.13,16.70,4337.33,0.99,-1.00
1.03,-2147.48,-2147.48,25.35,20.17,17.71,4423.60,0.99,-1.00
1.02,-2147.48,-2147.48,25.13,19.94,17.41,4402.82,0.99,-1.00
1.03,-2147.48,-2147.48,25.48,20.43,18.05,4307.94,0.99,-1.00
1.02,-2147.48,-2147.48,23.30,18.02,15.53,4398.30,0.99,-1.00
1.03,-2147.48,-2147.48,25.20,19.32,16.90,4403.68,0.99,-1.00
1.02,-2147.48,-2147.48,25.49,19.49,16.99,4391.51,0.99,-1.00
1.03,-2147.48,-2147.48,26.21,20.25,17.77,4378.16,0.99,-1.00
1.01,-2147.48,-2147.48,23.65,17.76,15.31,4428.40,0.99,-1.00
1.02,-2147.48,-2147.48,25.35,19.24,16.78,4424.76,0.99,-1.00
1.03,-2147.48,-2147.48,25.74,19.84,17.41,4367.33,0.99,-1.00
1.03,-2147.48,-2147.48,25.02,18.80,16.20,4391.17,0.99,-1.00
1.17,-2147.48,-2147.48,25.44,19.38,16.94,4359.49,0.99,-1.00
1.18,-2147.48,-2147.48,25.89,19.97,17.55,4348.19,0.99,-1.00
