IPC,L1MISS,L2MISS,L3MISS,Branch,Result
1.25,3.24,3.2,3.14,2076.47,1
1.26,3.25,3.22,3.17,2101.22,1
1.24,3.25,3.22,3.17,2039.94,1
1.38,3.25,3.22,3.16,1993.7,1
1.25,3.25,3.22,3.17,2122.22,1
1.26,3.25,3.22,3.17,1981.67,1
1.24,3.25,3.22,3.17,1972.13,1
1.25,3.26,3.23,3.19,2020.96,1
1.25,3.25,3.22,3.17,2074.52,1
1.25,3.25,3.22,3.17,1999.71,1
1.24,3.29,3.25,3.19,2005.56,1
1.25,3.37,3.32,3.24,2009.28,1
1.25,3.25,3.22,3.17,2016.92,1
1.25,3.26,3.23,3.17,2128.57,1
1.24,3.25,3.22,3.17,2108.36,1
1.25,3.25,3.22,3.17,2059.41,1
1.25,3.26,3.23,3.17,2051.12,1
1.26,3.25,3.22,3.17,2014.61,1
1.24,3.25,3.22,3.17,2090.96,1
1.25,3.27,3.24,3.18,2139.01,1
1.25,3.26,3.23,3.17,2131.42,1
1.25,3.26,3.23,3.17,1993.08,1
1.26,3.26,3.23,3.17,2077.1,1
1.12,3.28,3.25,3.2,1590.08,1
1.25,3.27,3.24,3.19,2033.93,1
1.25,3.26,3.23,3.19,2000.58,1
1.25,3.27,3.24,3.19,2136.9,1
1.25,3.28,3.25,3.18,2120.86,1
1.25,3.27,3.24,3.19,2068.41,1
1.25,3.27,3.24,3.19,2127.99,1
1.25,3.27,3.24,3.19,2078.68,1
1.25,3.26,3.24,3.19,2061.55,1
1.25,3.28,3.25,3.18,2074.78,1
1.25,3.27,3.24,3.18,2133.19,1
0.94,0.09,0.06,0,1742.42,2
1.29,0.08,0.05,0,1936.3,2
1.27,0.08,0.05,0,1934.28,2
1.27,0.06,0.04,0,1958.18,2
1.27,0.07,0.04,0,1961.36,2
1.27,0.09,0.06,0,1957.72,2
1.27,0.08,0.05,0,2026.46,2
1.27,0.08,0.05,0,2013.29,2
1.27,0.08,0.05,0,2067.45,2
1.27,0.07,0.04,0,1971.11,2
1.27,0.09,0.05,0,1989.52,2
1.27,0.08,0.05,0,1906.79,2
1.27,0.07,0.05,0,1970.15,2
1.27,0.07,0.05,0,1990.77,2
1.27,0.07,0.04,0,1974.19,2
1.27,0.06,0.04,0,1996.96,2
1.27,0.09,0.05,0,2010.3,2
1.27,0.08,0.05,0,2067.69,2
1.27,0.07,0.05,0,2050.75,2
1.26,0.08,0.05,0,2000.04,2
1.26,0.15,0.09,0,2053.75,2
1.27,0.07,0.05,0,2057.77,2
1.27,0.09,0.06,0,1941.18,2
1.27,0.08,0.05,0,1955.24,2
1.27,0.07,0.05,0,2037.74,2
1.27,0.09,0.06,0,2061.62,2
1.27,0.08,0.05,0,2035.52,2
1.27,0.09,0.05,0,2091.28,2
