IPC,L1MISS,L2MISS,L3MISS,Branch,Result
1.15,26.36,20.32,17.91,4499.93,0
1.18,27.51,21.44,19.04,4484.99,0
1.17,26.67,20.59,18.18,4430.41,0
1.16,26.09,20.09,17.69,4460.48,0
1.18,27.8,21.6,19.16,4490.26,0
1.17,27.85,21.78,19.35,4476.98,0
1.16,26.59,20.54,18.08,4459.15,0
1.16,26.18,20.16,17.72,4472.23,0
1.18,25.76,19.92,17.56,4315.06,0
1.17,26.54,20.58,18.14,4451.18,0
1.18,24.72,18.83,16.37,4446.81,0
1.17,24.65,18.75,16.31,4502.94,0
1.18,28.09,22.21,19.83,4309.94,0
1.18,25.56,20.12,17.8,4415.14,0
1.17,23.35,18.1,15.59,4467.92,0
1.18,24.3,19.11,16.63,4311.19,0
1.18,25.4,20.25,17.85,4367.71,0
1.18,26.86,21.69,19.28,4395.56,0
1.17,25.41,20.09,17.53,4421.03,0
1.15,24.36,19.25,16.79,4459.47,0
1.16,24.99,19.86,17.42,4471.81,0
1.17,25.12,19.81,17.24,4392.81,0
1.17,23.56,18.44,16.01,4393.09,0
1.16,25.37,20.25,17.82,4436.53,0
1.16,24.84,19.62,17.09,4396.56,0
1.15,24.06,18.86,16.34,4471.74,0
1.17,24.48,19.37,16.94,4340.93,0
1.16,24.67,19.56,17.14,4365.07,0
1.15,25.11,20.02,17.57,4349.88,0
1.16,25.57,20.2,17.61,4540.71,0
1.16,24.8,19.69,17.25,4476.27,0
1.17,25.46,20.12,17.54,4464.74,0
1.16,24.57,19.44,17,4454.28,0
0.99,27.4,20.43,17.77,4561.84,1
0.97,34.63,24.22,22.71,4365.46,1
0.97,33.56,23.44,21.94,4285.35,1
0.98,32.41,22.32,20.93,4279.7,1
1.02,29.68,22.81,20.51,4337.85,1
1,29.49,22.75,20.41,4313.31,1
1.01,28.26,22.3,19.95,4349.79,1
1.01,29.28,23.21,20.82,4364.12,1
1,27.92,21.92,19.54,4373.59,1
1.01,28.53,22.61,20.33,4249.91,1
1.01,29.43,23.39,21.01,4340.11,1
1.01,29.49,23.47,21.1,4331.34,1
1,27.36,21.2,18.76,4406.37,1
1.01,28.72,22.72,20.32,4355.02,1
1,27.92,21.87,19.48,4340.74,1
1.02,27.55,21.76,19.4,4338.38,1
1.01,27.56,21.8,19.44,4344.96,1
1,27.69,21.83,19.44,4401.99,1
1.01,27.25,21.66,19.22,4354.99,1
1.03,26.67,21.4,18.89,4320.78,1
1.01,27.44,22.24,19.8,4362.05,1
1,26.8,21.49,19.02,4374.9,1
1.01,26.45,21.29,18.87,4267.09,1
1,25.68,20.48,18.02,4407.22,1
1.01,27.5,22.38,19.99,4358.77,1
1.03,27.4,22.25,19.85,4302.71,1
1.02,29.1,23.79,21.27,4339.77,1
1.01,25.82,20.72,18.28,4368.65,1
1.02,27.48,22.36,19.95,4347.21,1
1,26.42,21.08,18.6,4409.03,1
1.01,26.3,21.13,18.68,4366.9,1
1.01,28.29,23.07,20.62,4361.43,1
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1,73.76,66.97,15.87,4415.61,3
1.01,74.77,69.59,18.18,4379.34,3
1.01,69.67,63.83,15.63,4358.32,3
1.01,26.43,19.4,16.93,4384.29,2
1.02,25.21,18.18,15.69,4287.09,2
1.01,26.15,18.9,16.39,4326.32,2
1.03,26.81,19.78,17.34,4371.04,2
1.03,28.61,21.41,18.9,4351.3,2
1.03,26.26,19.24,16.71,4351.62,2
1.02,26.63,19.58,17.13,4397.78,2
1.01,25.06,18.07,15.56,4414.08,2
1.03,25.8,18.8,16.34,4307.37,2
1.02,24.99,18,15.49,4397.86,2
1.02,26.77,19.57,17.07,4398.37,2
1.03,26.85,19.71,17.19,4368.26,2
1.02,26.43,19.17,16.59,4404.38,2
1.01,25.71,18.44,15.89,4425.58,2
1.01,24.95,17.26,14.72,4420.26,2
1.04,31.56,23.86,21.32,4337.9,2
1.02,25.12,17.37,14.82,4415.53,2
1.02,25.96,18.52,16.03,4388.85,2
1.03,26.66,19.18,16.71,4343.22,2
1.01,25.59,18.15,15.65,4417.62,2
1.02,26.36,18.38,15.68,4445.75,2
1.02,26.61,19.15,16.68,4376.62,2
1.03,27.02,19.47,17,4392.67,2
1.01,26.45,18.67,16.15,4384.63,2
1.03,27.98,20.44,17.98,4367.45,2
1.03,27.3,19.72,17.13,4380.56,2
1.03,26.94,19.46,16.99,4374.77,2
1.03,27.39,19.91,17.45,4359.83,2
1.03,27.66,20.1,17.64,4421.93,2
1.03,27.56,20.03,17.57,4381.69,2
1.02,25.75,18.25,15.7,4392.31,2
1.04,27.99,20.42,17.88,4351.07,2
1.02,26.33,18.7,16.2,4396.59,2
1.02,26.39,18.8,16.3,4382.3,2
1.03,26.7,19.24,16.79,4347.73,2
1.03,27.18,19.56,17.03,4412.46,2
1.02,25.93,18.13,15.48,4396.02,2
1.02,27.25,19.82,17.36,4347.41,2
1.02,27.86,20.21,17.72,4432.58,2
1.02,29.08,21.55,19.1,4384.94,2
1.03,28.05,20.28,17.66,4380.57,2
1.02,27.23,19.54,17.04,4400.5,2
1.01,27.82,20.32,17.88,4381.46,2
1.03,28.97,21.48,19.05,4346.34,2
1.03,28.87,21.39,18.95,4353.83,2
