IPC,L1MISS,L2MISS,L3MISS,Branch,RESULT
1.13,72.42,24.52,5.28,3534.91,0
1.13,73.39,24.62,5.23,3512.16,0
1.13,71.75,24.24,5.24,3506.3,0
1.13,72.23,24.44,5.25,3518.75,0
1.13,72.6,24.58,5.22,3517.59,0
1.13,72.22,24.54,5.25,3518.39,0
1.13,71.8,24.35,5.21,3513.92,0
1.13,71.05,24.17,5.22,3502.42,0
1.13,70.81,24.02,5.26,3503.96,0
1.13,70.36,24.03,5.25,3495.12,0
1.13,70.59,23.98,5.23,3495.36,0
1.13,70.91,24.15,5.25,3502.53,0
1.13,71.4,24.12,5.23,3499.55,0
1.13,71.46,24.31,5.22,3503,0
1.13,72.65,24.56,5.27,3509.57,0
1.13,72.97,24.67,5.26,3505.08,0
1.13,73.35,24.78,5.23,3513.74,0
1.13,70.31,23.99,5.25,3498.67,0
1.13,70.55,23.95,5.24,3502.46,0
1.13,70.99,24.16,5.22,3509.14,0
1.13,70.86,24.1,5.27,3499.78,0
1.13,71.11,24.07,5.25,3512.27,0
1.13,73.05,24.79,5.23,3528.67,0
1.13,72.46,24.58,5.28,3525.06,0
1.13,72.6,24.71,5.36,3530.2,0
1.14,73.58,25.03,5.37,3530.93,0
1.13,72.01,24.51,5.29,3521.54,0
1.13,72.32,24.52,5.26,3522.39,0
1.13,73.49,24.72,5.23,3521.12,0
1.13,72.85,24.57,5.27,3518.96,0
1.13,73.22,24.68,5.31,3525.03,0
1.13,73.48,24.76,5.24,3524.24,0
0.97,72.11,27.13,7.17,3086.45,1
0.95,70.83,28.77,6.67,3053.17,1
0.84,66.37,29.24,6.94,2672.07,1
0.94,69.25,26.06,7.32,2961.12,1
0.67,59.36,33.27,6.5,2151.75,1
0.66,59.07,33.09,6.32,2141.78,1
0.66,59.33,33.13,6.49,2132.4,1
0.66,59.83,33.27,6.5,2144.25,1
0.65,59.01,32.97,6.12,2107.09,1
0.67,59.92,33.26,6.49,2152,1
0.66,60.75,33.66,6.29,2124.82,1
0.66,59.31,33.23,6.51,2134.04,1
0.62,61.7,34.03,6.56,1972.11,1
0.65,59.44,33.26,6.48,2111.16,1
0.63,60.31,33.67,6.2,2043.59,1
0.67,60.18,33.21,6.55,2159.11,1
0.75,71.01,29.19,8.02,2272.65,1
0.61,68.78,28.86,8.35,1776.23,1
0.88,73.59,26.77,7.91,2698.66,1
0.94,70,28.91,6.91,2990.28,1
0.91,69.78,27.51,7.26,2861.66,1
0.77,72.56,28.83,7.81,2359.26,1
0.6,70.18,29.45,8.87,1722.34,1
0.88,68.8,28.3,7.28,2761.23,1
0.72,67.38,28.25,8.1,2167.35,1
0.53,62.54,34.18,6.98,1647.42,1
0.74,69.95,28.51,8.16,2253.63,1
0.87,69.39,26.45,7.67,2693.5,1
0.69,63.19,32.49,6.83,2194.43,1
0.73,70.86,30.18,7.27,2236.97,1
0.89,71.68,26.73,7.79,2732.95,1
0.85,68.69,25.48,4.64,2572.02,2
0.94,66.03,22.02,3.33,2918.17,2
0.73,56.21,27.23,2.11,2333.24,2
0.94,66.32,21.53,3.41,2901.95,2
0.81,60.39,26.67,2.5,2560.11,2
0.75,58.02,27.18,2.32,2403.21,2
0.81,64.56,24.74,3.13,2498.95,2
0.75,66.86,25.65,3.1,2282.14,2
0.89,68.84,22.26,3.66,2719.6,2
0.89,66.54,21.93,3.63,2727,2
0.67,65.26,25.32,3.98,1968.76,2
0.89,64.07,24.52,2.93,2814.41,2
0.72,57.85,27.95,2.1,2325.97,2
0.7,62.39,26.81,3.36,2139.76,2
0.83,66.84,22.8,3.54,2544.04,2
0.82,63.7,22.26,3.82,2494.39,2
0.95,67.98,22.32,3.31,2948.42,2
0.81,61.75,26.48,2.38,2582.81,2
0.95,62.17,25.02,2.5,3056.97,2
0.69,59.29,28.13,2.52,2194.8,2
0.96,62.82,22.75,2.61,3057.06,2
0.7,63.38,24.4,3.82,2105.47,2
0.54,57.15,29.81,2.74,1658.18,2
0.54,56.72,29.65,2.78,1652.52,2
0.54,57.4,29.84,2.89,1652.08,2
0.54,57.81,30.03,2.85,1658.53,2
0.59,60.34,29.98,2.54,1821.88,2
0.58,58.39,30.08,2.08,1825.33,2
0.63,67.51,28.91,3.98,1899.81,2
0.86,107.42,67.8,3.45,2754.93,3
0.64,122.47,96.14,2.25,2127.22,3
0.64,122.47,96.66,2.26,2119.99,3
0.63,125.66,97.17,2.06,2092.24,3
0.61,132.17,94.26,3.29,1871.67,3
0.84,135.86,89.89,3.66,2614.45,3
0.75,135.03,93.7,3.61,2329.1,3
0.8,134.47,92.43,3.56,2503.35,3
0.69,134.08,91.37,4.16,2071.24,3
0.89,134.49,90,3.52,2820.84,3
0.72,129.07,94.44,2.9,2313.15,3
1.05,92.01,46.67,4.25,3316.96,3
0.86,107.42,67.8,3.45,2754.93,3
0.64,122.47,96.14,2.25,2127.22,3
0.64,122.47,96.66,2.26,2119.99,3
0.63,125.66,97.17,2.06,2092.24,3
0.61,132.17,94.26,3.29,1871.67,3
0.84,135.86,89.89,3.66,2614.45,3
0.75,135.03,93.7,3.61,2329.1,3
0.8,134.47,92.43,3.56,2503.35,3
0.69,134.08,91.37,4.16,2071.24,3
0.89,134.49,90,3.52,2820.84,3
0.72,129.07,94.44,2.9,2313.15,3
1.05,92.01,46.67,4.25,3316.96,3
