IPC,L1MISS,L2MISS,L3MISS,Branch,Result
0.63,0.21,0.14,0,6.23,0
0.35,0.15,0.1,0,2.32,0
0.37,0.15,0.1,0,2.34,0
0.31,0.11,0.08,0,1.83,0
0.35,0.14,0.1,0,2.3,0
0.36,0.15,0.1,0,2.39,0
0.36,0.11,0.08,0,1.99,0
1.11,0.34,0.18,0.02,11.23,0
0.33,0.15,0.1,0,2.31,0
0.43,0.16,0.1,0,3.06,0
0.36,0.17,0.12,0,2.65,0
0.27,0.09,0.06,0,1.46,0
0.31,0.08,0.06,0,1.5,0
0.34,0.07,0.04,0,1.33,0
0.34,0.07,0.05,0,1.39,0
0.29,0.08,0.05,0,1.34,0
0.31,0.08,0.05,0,1.45,0
0.62,0.18,0.09,0,3.74,0
0.26,0.08,0.06,0,1.33,0
0.32,0.09,0.06,0,1.87,0
0.26,0.08,0.05,0,1.3,0
0.36,0.09,0.06,0,1.84,0
0.29,0.1,0.07,0,1.65,0
0.27,0.08,0.06,0,1.41,0
0.3,0.07,0.05,0,1.28,0
0.31,0.07,0.04,0,1.25,0
0.3,0.08,0.05,0,1.34,0
0.26,0.08,0.06,0,1.37,0
0.28,0.09,0.06,0,1.44,0
0.75,0.09,0.06,0,3.95,0
0.27,0.08,0.06,0,1.36,0
0.25,0.08,0.05,0,1.29,0
0.58,0.18,0.09,0,3.64,0
1.28,0.12,0.08,0,6.88,0
0.42,0.15,0.08,0,2.79,0
0.66,0.08,0.06,0,1.89,0
0.29,0.07,0.05,0,1.3,0
0.35,0.12,0.08,0,2.13,0
0.28,0.1,0.07,0,1.66,0
0.33,0.09,0.06,0,1.85,0
0.27,0.08,0.05,0,1.33,0
0.32,0.09,0.06,0,1.76,0
0.29,0.08,0.05,0,1.38,0
0.26,0.09,0.06,0,1.4,0
0.26,0.09,0.07,0,1.48,0
0.29,0.07,0.05,0,1.26,0
0.57,0.18,0.09,0,3.51,0
1.26,0.1,0.08,0,6.68,0
0.42,0.15,0.08,0,2.72,0
0.4,0.14,0.09,0,2.79,0
0.28,0.08,0.05,0,1.37,0
0.35,0.52,0.25,0.02,4.86,0
0.28,0.08,0.05,0,1.33,0
0.4,0.14,0.07,0,2.4,0
0.28,0.09,0.06,0,1.45,0
1.43,0.26,0.13,0,7.23,0
0.29,0.08,0.05,0,1.34,0
1.62,0.08,0.05,0,3.3,0
0.29,0.07,0.05,0,1.33,0
1.47,0.11,0.07,0,3.93,0
0.29,0.1,0.07,0,1.66,0
0.31,0.08,0.05,0,1.48,0
0.59,0.24,0.13,0,4.69,0
1.35,0.15,0.08,0,7.73,0
0.29,0.09,0.06,0,2.73,0
0.3,0.07,0.05,0,1.34,0
0.33,0.13,0.09,0,2.22,0
0.26,0.07,0.05,0,1.29,0
0.28,0.08,0.05,0,1.33,0
0.36,0.11,0.07,0,2.16,0
0.27,0.08,0.05,0,1.3,0
0.27,0.09,0.06,0,1.5,0
0.28,0.09,0.06,0,1.5,0
0.29,0.07,0.05,0,1.3,0
0.28,0.09,0.06,0,1.48,0
0.28,0.07,0.05,0,1.32,0
0.28,0.07,0.05,0,1.35,0
0.34,0.12,0.08,0,2.15,0
0.26,0.09,0.06,0,1.4,0
0.32,0.09,0.06,0,1.91,0
0.27,0.09,0.06,0,1.39,0
0.29,0.07,0.05,0,1.22,0
0.29,0.08,0.05,0,1.39,0
0.26,0.09,0.06,0,1.45,0
0.29,0.07,0.04,0,1.25,0
0.3,0.08,0.05,0,1.39,0
0.56,0.19,0.1,0,3.76,0
1.41,0.08,0.06,0,6.4,0
0.38,0.16,0.09,0,2.72,0
0.62,0.19,0.09,0,4.15,0
0.33,0.15,0.1,0,2.46,0
0.25,0.08,0.06,0,2.84,0
0.26,0.08,0.06,0,1.33,0
0.27,0.07,0.05,0,1.24,0
0.27,0.09,0.06,0,1.42,0
0.26,0.09,0.06,0,1.4,0
0.25,0.08,0.05,0,1.28,0
0.25,0.08,0.05,0,1.25,0
0.25,0.08,0.06,0,1.35,0
0.3,0.1,0.07,0,1.93,0
0.26,0.09,0.06,0,1.37,0
0.35,0.09,0.06,0,1.9,0
0.7,0.09,0.06,0,3.49,0
0.25,0.08,0.06,0,1.29,0
0.25,0.09,0.06,0,1.44,0
0.29,0.08,0.05,0,1.42,0
0.27,0.09,0.06,0,1.43,0
0.64,0.08,0.06,0,1.79,0
0.25,0.08,0.05,0,1.28,0
0.32,0.09,0.06,0,1.76,0
0.25,0.09,0.06,0,1.43,0
0.4,0.58,0.28,0.02,6.85,0
0.26,0.08,0.06,0,1.35,0
0.27,0.08,0.06,0,1.31,0
0.26,0.08,0.06,0,1.32,0
0.25,0.08,0.05,0,1.26,0
0.27,0.09,0.06,0,1.44,0
0.26,0.08,0.06,0,1.33,0
0.28,0.08,0.06,0,1.43,0
0.31,0.09,0.06,0,1.82,0
0.26,0.08,0.06,0,1.33,0
0.29,0.09,0.06,0,1.38,0
1.42,0.27,0.13,0.01,7.31,0
0.24,0.08,0.05,0,1.29,0
1.45,0.1,0.07,0,3.3,0
0.26,0.08,0.05,0,1.27,0
0.63,0.16,0.1,0.01,4.94,0
1.37,0.1,0.07,0,3.4,0
0.32,0.13,0.09,0,2.18,0
0.32,0.09,0.06,0,1.83,0
0.26,0.08,0.06,0,1.35,0
0.27,0.08,0.06,0,1.43,0
0.26,0.09,0.06,0,1.36,0
0.26,0.09,0.06,0,1.38,0
0.38,0.14,0.08,0,2.33,0
0.23,0.08,0.06,0,1.29,0
0.26,0.08,0.05,0,1.26,0
0.28,0.08,0.06,0,1.33,0
0.26,0.08,0.05,0,1.33,0
0.31,0.09,0.06,0,1.73,0
0.29,0.09,0.06,0,1.55,0
0.26,0.08,0.05,0,1.25,0
0.28,0.1,0.06,0,1.55,0
0.24,0.08,0.05,0,1.27,0
0.25,0.08,0.06,0,1.38,0
0.28,0.08,0.05,0,1.33,0
0.27,0.08,0.06,0,1.35,0
0.25,0.09,0.06,0,1.32,0
1.21,0.28,0.14,0.01,10.26,0
0.32,0.1,0.06,0,1.95,0
0.26,0.09,0.07,0,1.48,0
0.31,0.12,0.08,0,2.02,0
0.28,0.09,0.06,0,1.41,0
0.27,0.08,0.05,0,1.27,0
0.26,0.08,0.06,0,1.31,0
0.25,0.09,0.06,0,1.4,0
0.28,0.09,0.06,0,1.6,0
0.25,0.07,0.05,0,1.21,0
0.27,0.09,0.06,0,1.41,0
0.31,0.1,0.07,0,1.92,0
0.52,0.2,0.11,0,3.81,0
1.31,0.16,0.09,0,8.07,0
0.26,0.08,0.06,0,1.33,0
0.24,0.09,0.06,0,1.39,0
0.32,0.12,0.08,0,2,0
0.29,0.08,0.05,0,1.38,0
